Country,Localite,Category,Value,Date
Guinea,"Guekedou, Macenta, Nzerekore and Kissidougou",Cases,86,3/24/14
Guinea,"Guekedou, Macenta, Nzerekore and Kissidougou",Deaths,59,3/24/14
Guinea,"( Guekedou, Macenta and Kissidougou",Cases,86,3/25/14
Guinea,"( Guekedou, Macenta and Kissidougou",Deaths,60,3/25/14
Guinea,"( Guekedou, Macenta and Kissidougou",Cases,86,3/26/14
Guinea,"( Guekedou, Macenta and Kissidougou)",Deaths,62,3/26/14
Guinea,"( Guekedou, Macenta and Kissidougou)",Cases,103,3/27/14
Guinea,"( Guekedou, Macenta and Kissidougou)",Deaths,66,3/27/14
Guinea,"( Guekedou, Macenta,Kissidougou,Lofa,Kankan and Conakry)",Deaths,70,3/28/14
Guinea,Conakry,Suspected cases,5,3/28/14
Guinea,Gueckedou,Suspected cases,69,3/28/14
Guinea,Kankan,Suspected cases,1,3/28/14
Guinea,Kissidougou,Suspected cases,7,3/28/14
Guinea,Lofa County,Suspected cases,8,3/28/14
Guinea,Macenta,Suspected cases,21,3/28/14
Guinea,National,Cases,122,3/31/14
Guinea,National,Confirmed cases,24,3/31/14
Guinea,National,Deaths,80,3/31/14
Guinea,National,Probable cases,78,3/31/14
Guinea,National,Suspected cases,22,3/31/14
Guinea,National,Cases,127,4/1/14
Guinea,National,Confirmed cases,35,4/1/14
Guinea,National,Deaths,83,4/1/14
Guinea,Conakry,Cases,18,4/4/14
Guinea,Conakry,Deaths,5,4/4/14
Guinea,Dabola and Djingaraye,Cases,4,4/4/14
Guinea,Dabola and Djingaraye,Deaths,3,4/4/14
Guinea,Gueckedou,Cases,85,4/4/14
Guinea,Gueckedou,Deaths,59,4/4/14
Guinea,Kissidougou,Cases,9,4/4/14
Guinea,Kissidougou,Deaths,5,4/4/14
Guinea,Macenta,Cases,27,4/4/14
Guinea,Macenta,Deaths,14,4/4/14
Guinea,National,Cases,143,4/4/14
Guinea,National,Confirmed cases,54,4/4/14
Guinea,National,Deaths,86,4/4/14
Guinea,Conakry,Cases,20,4/7/14
Guinea,Conakry,Deaths,6,4/7/14
Guinea,Dabola ,Cases,4,4/7/14
Guinea,Dabola ,Deaths,3,4/7/14
Guinea,Dinguiraye ,Cases,1,4/7/14
Guinea,Dinguiraye ,Deaths,1,4/7/14
Guinea,Gueckedou,Cases,90,4/7/14
Guinea,Gueckedou,Deaths,63,4/7/14
Guinea,Kissidougou,Cases,9,4/7/14
Guinea,Kissidougou,Deaths,6,4/7/14
Guinea,Macenta,Cases,27,4/7/14
Guinea,Macenta,Deaths,16,4/7/14
Guinea,National,Cases,151,4/7/14
Guinea,National,Deaths,95,4/7/14
Guinea,National,Cases,157,4/10/14
Guinea,National,Deaths,101,4/10/14
Guinea,Conakry,Cases,31,4/11/14
Guinea,Dabola ,Cases,5,4/11/14
Guinea,Dinguiraye ,Cases,1,4/11/14
Guinea,Gueckedou,Cases,95,4/11/14
Guinea,Kissidougou,Cases,6,4/11/14
Guinea,Macenta,Cases,21,4/11/14
Guinea,National,Cases,159,4/11/14
Guinea,National,Confirmed cases,71,4/11/14
Guinea,National,Deaths,106,4/11/14
Guinea,National,Probable cases,34,4/11/14
Guinea,National,Suspected cases,54,4/11/14
Guinea,National,Cases,168,4/14/14
Guinea,National,Deaths,108,4/14/14
Guinea,Conakry,Cases,47,4/16/14
Guinea,Conakry,Deaths,16,4/16/14
Guinea,Dabola ,Cases,4,4/16/14
Guinea,Dabola ,Deaths,4,4/16/14
Guinea,Dinguiraye ,Cases,1,4/16/14
Guinea,Dinguiraye ,Deaths,1,4/16/14
Guinea,Gueckedou,Cases,117,4/16/14
Guinea,Gueckedou,Deaths,80,4/16/14
Guinea,Kissidougou,Cases,6,4/16/14
Guinea,Kissidougou,Deaths,5,4/16/14
Guinea,Macenta,Cases,22,4/16/14
Guinea,Macenta,Deaths,16,4/16/14
Guinea,National,Cases,197,4/16/14
Guinea,National,Confirmed cases,101,4/16/14
Guinea,National,Deaths,122,4/16/14
Guinea,National,Probable cases,43,4/16/14
Guinea,National,Suspected cases,53,4/16/14
Guinea,Conakry,Cases,50,4/17/14
Guinea,Conakry,Deaths,20,4/17/14
Guinea,Dabola ,Cases,4,4/17/14
Guinea,Dabola ,Deaths,4,4/17/14
Guinea,Dinguiraye ,Cases,1,4/17/14
Guinea,Dinguiraye ,Deaths,1,4/17/14
Guinea,Gueckedou,Cases,120,4/17/14
Guinea,Gueckedou,Deaths,83,4/17/14
Guinea,Kissidougou,Cases,6,4/17/14
Guinea,Kissidougou,Deaths,5,4/17/14
Guinea,Macenta,Cases,22,4/17/14
Guinea,Macenta,Deaths,16,4/17/14
Guinea,National,Cases,203,4/17/14
Guinea,National,Confirmed cases,109,4/17/14
Guinea,National,Deaths,129,4/17/14
Guinea,Conakry,Cases,53,4/20/14
Guinea,Conakry,Deaths,23,4/20/14
Guinea,Dabola ,Cases,4,4/20/14
Guinea,Dabola ,Deaths,4,4/20/14
Guinea,Dinguiraye ,Cases,1,4/20/14
Guinea,Dinguiraye ,Deaths,1,4/20/14
Guinea,Gueckedou,Cases,122,4/20/14
Guinea,Gueckedou,Deaths,87,4/20/14
Guinea,Kissidougou,Cases,6,4/20/14
Guinea,Kissidougou,Deaths,5,4/20/14
Guinea,Macenta,Cases,22,4/20/14
Guinea,Macenta,Deaths,16,4/20/14
Guinea,National,Cases,208,4/20/14
Guinea,National,Confirmed cases,112,4/20/14
Guinea,National,Deaths,136,4/20/14
Guinea,Conakry,Cases,58,4/23/14
Guinea,Conakry,Deaths,24,4/23/14
Guinea,Dabola ,Cases,4,4/23/14
Guinea,Dabola ,Deaths,4,4/23/14
Guinea,Dinguiraye ,Cases,1,4/23/14
Guinea,Dinguiraye ,Deaths,1,4/23/14
Guinea,Gueckedou,Cases,127,4/23/14
Guinea,Gueckedou,Deaths,91,4/23/14
Guinea,Kissidougou,Cases,6,4/23/14
Guinea,Kissidougou,Deaths,5,4/23/14
Guinea,Macenta,Cases,22,4/23/14
Guinea,Macenta,Deaths,16,4/23/14
Guinea,National,Cases,218,4/23/14
Guinea,National,Confirmed cases,115,4/23/14
Guinea,National,Deaths,141,4/23/14
Guinea,Conakry,Cases,60,4/26/14
Guinea,Conakry,Deaths,24,4/26/14
Guinea,Dabola ,Cases,4,4/26/14
Guinea,Dabola ,Deaths,4,4/26/14
Guinea,Dinguiraye ,Cases,1,4/26/14
Guinea,Dinguiraye ,Deaths,1,4/26/14
Guinea,Gueckedou,Cases,131,4/26/14
Guinea,Gueckedou,Deaths,93,4/26/14
Guinea,Kissidougou,Cases,6,4/26/14
Guinea,Kissidougou,Deaths,5,4/26/14
Guinea,Macenta,Cases,22,4/26/14
Guinea,Macenta,Deaths,16,4/26/14
Guinea,National,Cases,224,4/26/14
Guinea,National,Confirmed cases,121,4/26/14
Guinea,National,Deaths,143,4/26/14
Guinea,Conakry,Cases,53,5/1/14
Guinea,Conakry,Deaths,24,5/1/14
Guinea,Dabola ,Cases,4,5/1/14
Guinea,Dabola ,Deaths,4,5/1/14
