Country,Localite,Category,Value,Date,Sources,Link
Guinea,"Guekedou, Macenta, Nzerekore and Kissidougou",Cases,86,3/24/2014,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/guinea_ebola_20140324-2.pdf
Guinea,"Guekedou, Macenta, Nzerekore and Kissidougou",Deaths,59,3/24/2014,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/guinea_ebola_20140324-2.pdf
Guinea,"( Guekedou, Macenta and Kissidougou",Cases,86,3/25/2014,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/guinea_ebola_20140325.pdf
Guinea,"( Guekedou, Macenta and Kissidougou",Deaths,60,3/25/2014,WHO,http://reliefweb.int/sites/reliefweb.int/files/resources/guinea_ebola_20140325.pdf
Guinea,"( Guekedou, Macenta and Kissidougou",Cases,86,3/26/2014,WHO,http://reliefweb.int/report/guinea/fi-vre-h-morragique-virus-ebola-en-guin-e-mise-jour-26-mars-2014
Guinea,"( Guekedou, Macenta and Kissidougou)",Deaths,62,3/26/2014,WHO,http://reliefweb.int/report/guinea/fi-vre-h-morragique-virus-ebola-en-guin-e-mise-jour-26-mars-2014
Guinea,"( Guekedou, Macenta and Kissidougou)",Cases,103,3/27/2014,WHO,http://reliefweb.int/report/guinea/ebola-haemorrhagic-fever-guinea-situation-27-march-2014
Guinea,"( Guekedou, Macenta and Kissidougou)",Deaths,66,3/27/2014,WHO,http://reliefweb.int/report/guinea/ebola-haemorrhagic-fever-guinea-situation-27-march-2014
Guinea,Conakry,Suspected cases,5,3/28/2014,ECHO,http://reliefweb.int/sites/reliefweb.int/files/resources/ECDM_20140328_WestAfrica_EbolaOutbreak.pdf
Guinea,Kissidougou,Suspected cases,7,3/28/2014,ECHO,http://reliefweb.int/sites/reliefweb.int/files/resources/ECDM_20140328_WestAfrica_EbolaOutbreak.pdf
Guinea,Kankan,Suspected cases,1,3/28/2014,ECHO,http://reliefweb.int/sites/reliefweb.int/files/resources/ECDM_20140328_WestAfrica_EbolaOutbreak.pdf
Guinea,Gueckedou,Suspected cases,69,3/28/2014,ECHO,http://reliefweb.int/sites/reliefweb.int/files/resources/ECDM_20140328_WestAfrica_EbolaOutbreak.pdf
Guinea,Lofa County,Suspected cases,8,3/28/2014,ECHO,http://reliefweb.int/sites/reliefweb.int/files/resources/ECDM_20140328_WestAfrica_EbolaOutbreak.pdf
Guinea,Macenta,Suspected cases,21,3/28/2014,ECHO,http://reliefweb.int/sites/reliefweb.int/files/resources/ECDM_20140328_WestAfrica_EbolaOutbreak.pdf
Guinea,"( Guekedou, Macenta,Kissidougou,Lofa,Kankan and Conakry)",Deaths,70,3/28/2014,WHO,http://reliefweb.int/report/guinea/situation-de-la-fi-vre-virale-h-morragique-ebola-en-guin-e-au-30-mars-2014
Guinea,National,Cases,122,3/31/2014,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-1-avril-2014
Guinea,National,Confirmed cases,24,3/31/2014,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-1-avril-2014
Guinea,National,Probable cases,78,3/31/2014,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-1-avril-2014
Guinea,National,Suspected cases,22,3/31/2014,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-1-avril-2014
Guinea,National,Deaths,80,3/31/2014,Ministere de la Sante,http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-1-avril-2014
