EpiWeek,Country,District,EpiCaseDef,Gender,Age,Value
2014-W01,Guinea,Beyla,Confirmed,,0,0
2014-W02,Guinea,Beyla,Confirmed,,0,0
2014-W04,Guinea,Beyla,Confirmed,,0,0
2014-W05,Guinea,Beyla,Confirmed,,0,0
2014-W06,Guinea,Beyla,Confirmed,,0,0
2014-W07,Guinea,Beyla,Confirmed,,0,0
2014-W08,Guinea,Beyla,Confirmed,,0,0
2014-W09,Guinea,Beyla,Confirmed,,0,0
2014-W10,Guinea,Beyla,Confirmed,,0,0
2014-W11,Guinea,Beyla,Confirmed,,0,0
2014-W12,Guinea,Beyla,Confirmed,,0,0
2014-W13,Guinea,Beyla,Confirmed,,0,0
2014-W14,Guinea,Beyla,Confirmed,,0,0
2014-W15,Guinea,Beyla,Confirmed,,0,0
2014-W16,Guinea,Beyla,Confirmed,,0,0
2014-W17,Guinea,Beyla,Confirmed,,0,0
2014-W18,Guinea,Beyla,Confirmed,,0,0
2014-W19,Guinea,Beyla,Confirmed,,0,0
2014-W20,Guinea,Beyla,Confirmed,,0,0
2014-W21,Guinea,Beyla,Confirmed,,0,0
2014-W22,Guinea,Beyla,Confirmed,,0,0
2014-W23,Guinea,Beyla,Confirmed,,0,0
2014-W24,Guinea,Beyla,Confirmed,,0,0
2014-W25,Guinea,Beyla,Confirmed,,0,0
2014-W26,Guinea,Beyla,Confirmed,,0,0
2014-W27,Guinea,Beyla,Confirmed,,0,0
2014-W28,Guinea,Beyla,Confirmed,,0,0
2014-W29,Guinea,Beyla,Confirmed,,0,0
2014-W30,Guinea,Beyla,Confirmed,,0,0
2014-W31,Guinea,Beyla,Confirmed,,0,0
2014-W32,Guinea,Beyla,Confirmed,,0,0
2014-W33,Guinea,Beyla,Confirmed,,0,0
2014-W34,Guinea,Beyla,Confirmed,,0,0
2014-W35,Guinea,Beyla,Confirmed,,0,0
2014-W36,Guinea,Beyla,Confirmed,,0,0
2014-W37,Guinea,Beyla,Confirmed,,0,0
2014-W38,Guinea,Beyla,Confirmed,,0,0
2014-W39,Guinea,Beyla,Confirmed,,0,2
NA,Guinea,Beyla,Confirmed,,0,0
2014-W01,Guinea,Boffa,Confirmed,Male,28,0
2014-W02,Guinea,Boffa,Confirmed,Male,28,0
2014-W04,Guinea,Boffa,Confirmed,Male,28,0
2014-W05,Guinea,Boffa,Confirmed,Male,28,0
2014-W06,Guinea,Boffa,Confirmed,Male,28,0
2014-W07,Guinea,Boffa,Confirmed,Male,28,0
2014-W08,Guinea,Boffa,Confirmed,Male,28,0
2014-W09,Guinea,Boffa,Confirmed,Male,28,0
2014-W10,Guinea,Boffa,Confirmed,Male,28,0
2014-W11,Guinea,Boffa,Confirmed,Male,28,0
2014-W12,Guinea,Boffa,Confirmed,Male,28,0
2014-W13,Guinea,Boffa,Confirmed,Male,28,0
2014-W14,Guinea,Boffa,Confirmed,Male,28,0
2014-W15,Guinea,Boffa,Confirmed,Male,28,0
2014-W16,Guinea,Boffa,Confirmed,Male,28,0
2014-W17,Guinea,Boffa,Confirmed,Male,28,0
2014-W18,Guinea,Boffa,Confirmed,Male,28,0
2014-W19,Guinea,Boffa,Confirmed,Male,28,0
2014-W20,Guinea,Boffa,Confirmed,Male,28,0
2014-W21,Guinea,Boffa,Confirmed,Male,28,0
